1Run,2BioSample,3Bases,4batch,5Bytes,6cell_line,7cell_type,8Experiment,9genotype,10Library Name,11create_date,12Sample Name,13source_name,14tissue
SRR36692448,SAMN54465262,10.00 G,3,2.22 Gb,H4997 clone 2,midbrain dopaminergic neurons,SRX31700273,GBA1 IVS/+,GSM9436063,2026-01-0612:30:00Z,GSM9436063,iPSC-neurons,iPSC-neurons
SRR36692449,SAMN54465263,10.56 G,2,2.31 Gb,H4997 clone 2,midbrain dopaminergic neurons,SRX31700272,GBA1 IVS/+,GSM9436062,2026-01-0612:34:00Z,GSM9436062,iPSC-neurons,iPSC-neurons
SRR36692450,SAMN54465264,10.47 G,1,2.30 Gb,H4997 clone 2,midbrain dopaminergic neurons,SRX31700271,GBA1 IVS/+,GSM9436061,2026-01-0612:30:00Z,GSM9436061,iPSC-neurons,iPSC-neurons
SRR36692451,SAMN54465265,9.23 G,3,1.99 Gb,H4997 clone 2,astrocytes,SRX31700270,GBA1 IVS/+,GSM9436060,2026-01-0612:29:00Z,GSM9436060,iPSC-astrocytes,iPSC-astrocytes
SRR36692452,SAMN54465266,9.30 G,2,2.04 Gb,H4997 clone 2,astrocytes,SRX31700269,GBA1 IVS/+,GSM9436059,2026-01-0612:29:00Z,GSM9436059,iPSC-astrocytes,iPSC-astrocytes
SRR36692453,SAMN54465267,8.00 G,1,1.74 Gb,H4997 clone 2,astrocytes,SRX31700268,GBA1 IVS/+,GSM9436058,2026-01-0612:29:00Z,GSM9436058,iPSC-astrocytes,iPSC-astrocytes
SRR36692454,SAMN54465268,10.37 G,3,2.26 Gb,H4997 clone 1,midbrain dopaminergic neurons,SRX31700267,GBA1 IVS/+,GSM9436057,2026-01-0612:29:00Z,GSM9436057,iPSC-neurons,iPSC-neurons
SRR36692455,SAMN54465269,7.32 G,2,1.60 Gb,H4997 clone 1,midbrain dopaminergic neurons,SRX31700266,GBA1 IVS/+,GSM9436056,2026-01-0612:29:00Z,GSM9436056,iPSC-neurons,iPSC-neurons
SRR36692456,SAMN54465270,8.34 G,1,1.80 Gb,H4997 clone 1,midbrain dopaminergic neurons,SRX31700265,GBA1 IVS/+,GSM9436055,2026-01-0612:29:00Z,GSM9436055,iPSC-neurons,iPSC-neurons
SRR36692457,SAMN54465271,7.48 G,3,1.63 Gb,H4997 clone 1,astrocytes,SRX31700264,GBA1 IVS/+,GSM9436054,2026-01-0612:29:00Z,GSM9436054,iPSC-astrocytes,iPSC-astrocytes
SRR36692458,SAMN54465272,8.90 G,2,1.94 Gb,H4997 clone 1,astrocytes,SRX31700263,GBA1 IVS/+,GSM9436053,2026-01-0612:32:00Z,GSM9436053,iPSC-astrocytes,iPSC-astrocytes
SRR36692459,SAMN54465273,8.52 G,1,1.84 Gb,H4997 clone 1,astrocytes,SRX31700262,GBA1 IVS/+,GSM9436052,2026-01-0612:29:00Z,GSM9436052,iPSC-astrocytes,iPSC-astrocytes
SRR36692460,SAMN54465274,9.52 G,3,2.09 Gb,H1112 clone 3,midbrain dopaminergic neurons,SRX31700261,GBA1 +/+,GSM9436051,2026-01-0612:33:00Z,GSM9436051,iPSC-neurons,iPSC-neurons
SRR36692461,SAMN54465275,8.79 G,2,1.95 Gb,H1112 clone 3,midbrain dopaminergic neurons,SRX31700260,GBA1 +/+,GSM9436050,2026-01-0612:29:00Z,GSM9436050,iPSC-neurons,iPSC-neurons
SRR36692462,SAMN54465276,10.45 G,1,2.31 Gb,H1112 clone 3,midbrain dopaminergic neurons,SRX31700259,GBA1 +/+,GSM9436049,2026-01-0612:30:00Z,GSM9436049,iPSC-neurons,iPSC-neurons
SRR36692463,SAMN54465277,7.98 G,3,1.76 Gb,H1112 clone 3,astrocytes,SRX31700258,GBA1 +/+,GSM9436048,2026-01-0612:29:00Z,GSM9436048,iPSC-astrocytes,iPSC-astrocytes
SRR36692464,SAMN54465278,8.46 G,2,1.84 Gb,H1112 clone 3,astrocytes,SRX31700257,GBA1 +/+,GSM9436047,2026-01-0612:29:00Z,GSM9436047,iPSC-astrocytes,iPSC-astrocytes
SRR36692465,SAMN54465279,8.13 G,1,1.78 Gb,H1112 clone 3,astrocytes,SRX31700256,GBA1 +/+,GSM9436046,2026-01-0612:29:00Z,GSM9436046,iPSC-astrocytes,iPSC-astrocytes
SRR36692466,SAMN54465280,10.15 G,3,2.23 Gb,H1112 clone 2,astrocytes,SRX31700255,GBA1 +/+,GSM9436045,2026-01-0612:31:00Z,GSM9436045,iPSC-astrocytes,iPSC-astrocytes
SRR36692467,SAMN54465281,10.55 G,2,2.32 Gb,H1112 clone 2,astrocytes,SRX31700254,GBA1 +/+,GSM9436044,2026-01-0612:30:00Z,GSM9436044,iPSC-astrocytes,iPSC-astrocytes
SRR36692468,SAMN54465282,7.83 G,1,1.73 Gb,H1112 clone 2,astrocytes,SRX31700253,GBA1 +/+,GSM9436043,2026-01-0612:29:00Z,GSM9436043,iPSC-astrocytes,iPSC-astrocytes
SRR36692469,SAMN54465283,8.67 G,3,1.92 Gb,H1112 clone 1,midbrain dopaminergic neurons,SRX31700252,GBA1 +/+,GSM9436042,2026-01-0612:29:00Z,GSM9436042,iPSC-neurons,iPSC-neurons
SRR36692470,SAMN54465284,9.63 G,2,2.17 Gb,H1112 clone 1,midbrain dopaminergic neurons,SRX31700251,GBA1 +/+,GSM9436041,2026-01-0612:33:00Z,GSM9436041,iPSC-neurons,iPSC-neurons
SRR36692471,SAMN54465285,6.80 G,1,1.51 Gb,H1112 clone 1,midbrain dopaminergic neurons,SRX31700250,GBA1 +/+,GSM9436040,2026-01-06 12:28:00Z,GSM9436040,iPSC-neurons,iPSC-neurons
SRR36692472,SAMN54465286,9.29 G,3,2.01 Gb,H1112 clone 1,astrocytes,SRX31700249,GBA1 +/+,GSM9436039,2026-01-06 12:29:00Z,GSM9436039,iPSC-astrocytes,iPSC-astrocytes
SRR36692473,SAMN54465287,9.23 G,2,2.05 Gb,H1112 clone 1,astrocytes,SRX31700248,GBA1 +/+,GSM9436038,2026-01-06 12:30:00Z,GSM9436038,iPSC-astrocytes,iPSC-astrocytes
SRR36692474,SAMN54465288,8.41 G,1,1.79 Gb,H1112 clone 1,astrocytes,SRX31700247,GBA1 +/+,GSM9436037,2026-01-06 12:29:00Z,GSM9436037,iPSC-astrocytes,iPSC-astrocytes
