Geneid,SRR36692440
ENSG00000228470,0
ENSG00000152092,4807
ENSG00000234984,0
ENSG00000231648,0
ENSG00000229983,0
ENSG00000215149,0
ENSG00000225122,0
ENSG00000225920,0
ENSG00000143476,1068
ENSG00000121486,852
ENSG00000228437,0
ENSG00000057252,2041
ENSG00000285718,0
ENSG00000234070,3
ENSG00000233620,0
ENSG00000237783,0
ENSG00000233018,0
ENSG00000123685,26
ENSG00000224783,0
ENSG00000162852,1187
ENSG00000232792,0
ENSG00000273004,33
ENSG00000143842,272
ENSG00000268062,0
ENSG00000237409,0
ENSG00000116962,680
ENSG00000288078,0
ENSG00000271399,0
ENSG00000229757,0
ENSG00000232679,0
ENSG00000220749,76
ENSG00000181450,2764
ENSG00000223519,2
ENSG00000120333,2050
ENSG00000286285,2
ENSG00000225300,0
ENSG00000223842,0
ENSG00000162753,9
ENSG00000228247,0
ENSG00000231424,0
ENSG00000143355,146
ENSG00000287177,0
ENSG00000237193,0
ENSG00000223490,0
ENSG00000121644,5099
ENSG00000174502,10
ENSG00000224286,8
ENSG00000158715,294
ENSG00000143195,3007
ENSG00000162849,1193
ENSG00000232824,0
ENSG00000273416,3
ENSG00000234142,0
ENSG00000282111,0
ENSG00000233410,0
ENSG00000067533,1225
ENSG00000228955,0
ENSG00000270443,0
ENSG00000116209,13015
ENSG00000224702,0
ENSG00000271811,0
ENSG00000224278,0
ENSG00000235492,4
ENSG00000287808,61
ENSG00000229840,0
ENSG00000116161,4632
ENSG00000226486,0
ENSG00000227687,0
ENSG00000231814,0
ENSG00000286210,0
ENSG00000287364,0
ENSG00000225063,0
ENSG00000260698,0
ENSG00000277007,0
ENSG00000229016,0
ENSG00000152104,203
ENSG00000236975,12
ENSG00000286541,0
ENSG00000117650,1802
ENSG00000235021,0
ENSG00000203724,54
ENSG00000225006,0
ENSG00000287633,6
ENSG00000158764,14
ENSG00000223375,0
ENSG00000230714,0
ENSG00000261065,0
ENSG00000260855,78
ENSG00000236206,0
ENSG00000168118,3777
ENSG00000181101,0
ENSG00000173726,28507
ENSG00000282852,0
ENSG00000152382,2608
ENSG00000143839,0
ENSG00000232100,0
ENSG00000261024,0
ENSG00000230547,0
ENSG00000229703,0
ENSG00000176754,0
ENSG00000227953,6
ENSG00000232215,2
ENSG00000135829,13887
