accession,title,organism,n_samples,date,platform,type,query
GSE99142,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harboring mutations in the GBA1 gene, and from healthy control donors",Homo sapiens,5,2017/06/01,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE89886,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring amplification of, or mutations in the SNCA gene, and from healthy control donors",Homo sapiens,32,2016/11/16,22678;10558;21168;13829,Expression profiling by array; SNP genotyping by SNP array,Parkinson's disease AND control AND GPL10558
GSE89883,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring amplification of, or mutations in the SNCA gene, and from healthy control donors [gene expression]",Homo sapiens,13,2016/11/16,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE78152,"Derivation, characterization, and neuronal differentiation of integration-free induced pluripotent stem cell lines from Parkinsons disease patients carrying SNCA, LRRK2, PARK2, and GBA mutations",Homo sapiens,8,2016/02/23,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE77664,Gene expression and SNP genotype data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,12,2016/02/09,13829;10558,SNP genotyping by SNP array; Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE77663,Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,4,2016/02/09,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE54536,Involvement of endocytosis and alternative splicing in the formation of the pathological process in Parkinson's Disease,Homo sapiens,10,2014/01/31,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GDS5646,Early Parkinson's disease: peripheral blood,Homo sapiens,10,2014/01/31,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE53424,Gene expression data from human fibroblasts and induced Pluripotent Stem cells from Parkinson's Disease patients,Homo sapiens,5,2013/12/18,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE46798,Gene expression of A53T and corrected IPSC driven to DA neurons and exposed to paraquat and maneb,Homo sapiens,12,2013/12/05,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE32658,Midbrain floor plate dopamine neurons from human ESCs efficiently engraft in murine and primate models of PD,Homo sapiens,72,2011/11/07,10558,Expression profiling by array,Parkinson's disease AND control AND GPL10558
GSE57475,Association between alpha-synuclein blood transcripts and early Parkinson's disease,Homo sapiens,142,2015/06/01,6947,Expression profiling by array,Parkinson's disease AND control AND GPL6947
GSE33434,The transcription factor nurr1 exerts concentration-dependent effects on target genes mediating distinct biological processes,Homo sapiens,9,2012/01/01,6947,Expression profiling by array,Parkinson's disease AND control AND GPL6947
GSE20186,Systematic meta-analysis and replication of genome-wide expression studies of Parkinson's disease,Homo sapiens,69,2011/02/03,96;6947,Expression profiling by array,Parkinson's disease AND control AND GPL6947
GSE20159,Systematic meta-analysis and replication of genome-wide expression studies of Parkinson's disease: 1,Homo sapiens,33,2011/01/20,6947,Expression profiling by array,Parkinson's disease AND control AND GPL6947
