accession,title,organism,n_samples,date,has_pub,type,platform,summary,query
GSE189878,M6A Demethylase FTO-mediated downregulation of DACT1 mRNA stability promotes Wnt signaling to facilitate osteosarcoma progression [RNA-seq],Homo sapiens,4,2024/11/30,False,Expression profiling by high throughput sequencing,20301,"despite advances in clinical diagnosis and treatment, the prognosis of patients with osteosarcoma (os) remains poor, and the treatment efficacy has plateaued. therefore, it is important to identify new therapeutic targets for os. n6-methyladenosine (m6a) modification has been reported to participate in tumor malignancy. in this study, functional screening found that the m6a demethylase fto could be a candidate therapeutic target for os. upregulated fto in os could predict a poorer prognosis. fto promoted the growth and metastasis of os in vitro and in vivo. methylated rna immunoprecipitation sequencing (merip-seq) and rna sequencing (rna-seq) were performed to identify dact1 as a potential target of fto. in vitro assays demonstrated that fto could reduce the mrna stability of dact1 via m6a demethylation, which decreased dact1 expression and further activated the wnt signaling pathway. the oncogenic effect of fto on os was dependent on dact1. in addition, the m6a reader igf2bp1 was validated to participate in the regulation of dact1. entacapone, a conventional drug for parkinson's disease, was confirmed to suppress os via m6a-mediated regulation through the fto/dact1 axis. our findings demonstrate that fto may be a novel therapeutic target and that entacapone has the preclinical value to be repurposed for os.",Parkinson's disease AND clinical AND RNA-seq AND progression
GSE189877,M6A Demethylase FTO-mediated downregulation of DACT1 mRNA stability promotes Wnt signaling to facilitate osteosarcoma progression [MeRIP-seq],Homo sapiens,4,2024/11/30,False,Other,20301,"despite advances in clinical diagnosis and treatment, the prognosis of patients with osteosarcoma (os) remains poor, and the treatment efficacy has plateaued. therefore, it is important to identify new therapeutic targets for os. n6-methyladenosine (m6a) modification has been reported to participate in tumor malignancy. in this study, functional screening found that the m6a demethylase fto could be a candidate therapeutic target for os. upregulated fto in os could predict a poorer prognosis. fto promoted the growth and metastasis of os in vitro and in vivo. methylated rna immunoprecipitation sequencing (merip-seq) and rna sequencing (rna-seq) were performed to identify dact1 as a potential target of fto. in vitro assays demonstrated that fto could reduce the mrna stability of dact1 via m6a demethylation, which decreased dact1 expression and further activated the wnt signaling pathway. the oncogenic effect of fto on os was dependent on dact1. in addition, the m6a reader igf2bp1 was validated to participate in the regulation of dact1. entacapone, a conventional drug for parkinson's disease, was confirmed to suppress os via m6a-mediated regulation through the fto/dact1 axis. our findings demonstrate that fto may be a novel therapeutic target and that entacapone has the preclinical value to be repurposed for os.",Parkinson's disease AND clinical AND RNA-seq AND progression
GSE241257,Efavirenz and Fexofenadine ameliorates the propagation of alpha-synuclein,Mus musculus,12,2024/02/26,True,Expression profiling by high throughput sequencing,24247,"current treatments for parkinson's disease include drug therapy with l-dopa and mao-a inhibitors, as well as surgical methods like deep brain stimulation, which can delay disease progression but are not curative. numerous clinical trials are underway for the development of new drugs, but no approved drugs exist yet. in this study, a list of drugs that included efavirenz and fexofenadine was provided through deep learning. using these drugs, it was found that they can alleviate the propagation of alpha-synuclein and reduce neuroinflammation in vitro models, in vivo mice, and c.elegans models. rna-seq and ipa analyses revealed that efavirenz has an effect through the activation of cyp46a1 and the regulation of cholesterol metabolism. also, fexofenadine has an effect inflammation via regulating infiltrated peripheral immune cells. this study not only sheds light on the mechanism of propagation in parkinson's disease but also suggests the potential use of efavirenz and fexofenadine as a potential treatment for parkinson's disease through drug repurposing.",Parkinson's disease AND clinical AND RNA-seq AND progression
