accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE90514,Transcriptomic alterations in fibroblasts from Parkinson's disease patients carrying Parkin mutations,Homo sapiens,8,2018/03/05,True,Expression profiling by high throughput sequencing,"in this study, we evaluate the hypothesis that transcriptome pattern of a cell model of parkinson’s disease (pd) could be altered compared to healthy individuals. we cultured fibroblasts from parkin-associated pd (prkn-pd; n=4) and healthy controls (hc; n=4) and analysed the transcriptome profile by using whole rna sequencing. we found 343 differentially expressed transcripts (det) between patients and controls being 206 up-regulated and 137 down-regulated. these genes are related with the gene ontology terms cell adhesion, cell growth, aminoacid biosynthesis and folate metabolism amongst others. our findings indicate that prkn mutations are associated with global gene expression changes as observed in fibroblasts, and support an emerging view of pd as a systemic disease affecting also peripheral non-neural tissues such as the skin.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE100054,Expression profiling of peripheral blood mononuclear cells in normal controls and patients with Parkinson's disease,Homo sapiens,19,2017/07/27,True,Expression profiling by array,"autophagy is a highly conserved degradation pathway whereby not only cytosolic components but also aberrant proteins are sequestered within double-membraned vesicles. parkinson's disease (pd) is pathologically characterized by accumulation of phosphorylated α-synuclein in the neuronal cytoplasm and its accumulation occurs in the peripheral autonomic nervous system as well as the central nervous system. in the brains of patients with pd, abnormal autophagy is known to occur and be involved with neurodegeneration. to investigate abnormal autophagy in peripheral blood mononuclear cells (pbmc) in the patients with pd, we performed whole transcriptome analysis of pbmc obtained from 9 normal controls and 10 patients with pd.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE72267,Blood transcriptomics of drug-naïve sporadic Parkinson’s disease patients,Homo sapiens,59,2015/10/29,True,Expression profiling by array,"parkinson's disease (pd) is a chronic progressive neurodegenerative disorder that is clinically defined in terms of motor symptoms. these are preceded by prodromal non-motor manifestations that prove the systemic nature of the disease. identifying genes and pathways altered in living patients provide new information on the diagnosis and pathogenesis of sporadic pd. we study changes in gene expression in the blood of 40 sporadic pd patients and 20 healthy controls (“discovery set”) by taking advantage of the affymetrix platform. patients were at the onset of motor symptoms and before initiating any pharmacological treatment. by applying ranking-principal component analysis, puma and significance analysis of microarrays, gene expression profiling discriminates patients from healthy controls and identifies differentially expressed genes in blood. the majority of these are also present in dopaminergic neurons of the substantia nigra, the key site of neurodegeneration. together with neuronal apoptosis, lymphocyte activation and mitochondrial dysfunction, already found in previous analysis of pd blood and post-mortem brains, we unveiled transcriptome changes enriched in biological terms related to epigenetic modifications including chromatin remodeling and methylation. candidate transcripts were validated by rt-qpcr in an independent cohort of 12 patients and controls (“validation set”). our data support the use of blood transcriptomics to study neurodegenerative diseases. it identifies changes in crucial components of chromatin remodeling and methylation machineries as early events in sporadic pd suggesting epigenetics as target for therapeutic intervention.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE62470,Expression mRNA data from mouse blood samples measured using the NanoString nCounter platform,Homo sapiens; Mus musculus,20,2015/10/17,False,Other,"background: the diagnosis of parkinson’s disease (pd) is usually not established until advanced neurodegeneration leads to clinically detectable symptoms. previous blood pd transcriptome studies show low concordance, possibly due to the use of microarray technology, which has high measurement variation. the leucine-rich repeat kinase 2 (lrrk2) g2019s mutation predisposes to pd. using preclinical and clinical studies, we sought to develop a novel statistically motivated transcriptomic-based approach to identify a molecular signature in the blood of ashkenazi jewish pd patients including lrrk2 mutation carriers. methods: using a digital gene expression platform to quantify 175 mrna markers with low coefficients of variation (cv), we first compared whole blood transcript levels in mouse models 1) over-expressing wild-type (wt) lrrk2, 2) overexpressing g2019s lrrk2, 3) lacking lrrk2 (knockout), 4) and in wt controls. we then studied an ashkenazi jewish cohort of 34 symptomatic pd patients (both wt lrrk2 and g2019s lrrk2) and 32 asymptomatic controls. results: the expression profiles distinguished the 4 mouse groups with different genetic background. in patients, we detected significant differences in blood transcript levels both between individuals differing in lrrk2 genotype and between pd patients and controls. discriminatory pd markers included genes associated with innate and adaptive immunity and inflammatory disease. notably, gene expression patterns in l-dopa-treated pd patients were significantly closer to those of healthy controls in a dose-dependent manner. conclusions: we identify whole blood low cv mrna signatures correlating with lrrk2 genotype and with pd disease state. this approach may provide insight into pathogenesis and a route to early disease detection.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE62469,Expression mRNA data from human blood samples measured using the NanoString nCounter platform,Homo sapiens,66,2015/10/17,False,Other,"background: the diagnosis of parkinson’s disease (pd) is usually not established until advanced neurodegeneration leads to clinically detectable symptoms. previous blood pd transcriptome studies show low concordance, possibly due to the use of microarray technology, which has high measurement variation. the leucine-rich repeat kinase 2 (lrrk2) g2019s mutation predisposes to pd. using preclinical and clinical studies, we sought to develop a novel statistically motivated transcriptomic-based approach to identify a molecular signature in the blood of ashkenazi jewish pd patients including lrrk2 mutation carriers. methods: using a digital gene expression platform to quantify 175 mrna markers with low coefficients of variation (cv), we first compared whole blood transcript levels in mouse models 1) over-expressing wild-type (wt) lrrk2, 2) overexpressing g2019s lrrk2, 3) lacking lrrk2 (knockout), 4) and in wt controls. we then studied an ashkenazi jewish cohort of 34 symptomatic pd patients (both wt lrrk2 and g2019s lrrk2) and 32 asymptomatic controls. results: the expression profiles distinguished the 4 mouse groups with different genetic background. in patients, we detected significant differences in blood transcript levels both between individuals differing in lrrk2 genotype and between pd patients and controls. discriminatory pd markers included genes associated with innate and adaptive immunity and inflammatory disease. notably, gene expression patterns in l-dopa-treated pd patients were significantly closer to those of healthy controls in a dose-dependent manner. conclusions: we identify whole blood low cv mrna signatures correlating with lrrk2 genotype and with pd disease state. this approach may provide insight into pathogenesis and a route to early disease detection.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE42608,Whole-transcriptome high-throughput RNA sequencing of blood leukocytes from Parkinson's disease human patients pre- and post-deep brain stimulation,Homo sapiens,13,2014/07/16,True,Expression profiling by high throughput sequencing,"the given data set is the first deep sequencing transcriptome-wide data set of human parkinson's disease (pd) patients rna. the data set was produced from blood leukocytes of pd patients, from the same patients following deep brain stimulation (dbs), and from matched healthy control volunteers. post-dbs samples were taken from the patients while being on electrical stimulation (on-stim), and following one hour off of electrical stimulation (off-stim state). we have previously shown that gene expression changes, and in particular, alternative splicing changes, are observed in blood leukocytes and may contribute to pd and being subjected to regulation following dbs. here, solid rna-seq was applied to study the transcriptome of pd patients. exon- and junction-level analyses revealed deep insight into both differential expression and alternative splicing regulation in pd blood leukocytes prior to and following dbs both on and off electrical stimulation. this transcriptome genome-wide data obtained through high-throughput sequencing of rna produced from human parkinson's disease (pd) patients blood leukocytes prior to treatment and following deep brain stimulation (dbs) neurosurgical treatment may yield insights into the molecular mechanisms that underlie the pathogenesis of pd and treatment efficacy. it may further enable the development of future diagnostics and therapeutics for pd.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE54536,Involvement of endocytosis and alternative splicing in the formation of the pathological process in Parkinson's Disease,Homo sapiens,10,2014/01/31,True,Expression profiling by array,we performed a whole-transcriptome analysis of the peripheral blood of untreated patients with stage 1 pd (hoehn–yahr scale).,Parkinson's disease AND healthy AND transcriptome AND blood
GDS5646,Early Parkinson's disease: peripheral blood,Homo sapiens,10,2014/01/31,True,Expression profiling by array,"analysis of peripheral blood of untreated patients with stage 1 parkinson's disease (pd), according to the hoehn-yahr scale, and paired healthy, age- and sex-matched controls. results provide insight into molecular mechanisms underlying the initiation of the development of pd.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE40915,Deep sequencing of the small RNA transcriptome of blood leukocytes from Parkinson's disease patients prior to and following deep brain stimulation (DBS) and as compared with healthy control volunteers,Homo sapiens,12,2013/11/21,True,Non-coding RNA profiling by high throughput sequencing,"we report the application of small rna sequencing technology for high-throughput profiling of microrna molecules (mirnas) in blood leukocytes of parkinson's disease (pd) patients. expression changes which may contribute to pd pathogenesis and reaction to treatment were identified in rna preparations from blood leukocyte samples collected from pd patients prior to and following dbs neurosurgery on stimulation and following a short one hour cessation of the electrical stimulation (which enabled dissociation of the surgery effects from the electrical stimulation alone) and from matched healthy control volunteers, all under signed informed consents.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE27174,"Ascl1, Nurr1 and Lmx1 convert mouse and human fibroblasts into functional dopaminergic neurons without passing through an intermediate precursor state",Mus musculus,8,2011/07/04,True,Expression profiling by array,"lineage-specific transcription factors, which drive cellular identity during embryogenesis, have been shown to convert cell fate when express ectopically in heterologous cells. herein, we screened the key molecular factors governing the dopaminergic neuronal specification during brain development for their ability to generate similar neurons directly from mouse and human fibroblasts. remarkably, we found a minimal set of three factors mash1, nurr1 and lmx1a/b able to elicit such cellular reprogramming. molecular and transcriptome studies showed reprogrammed da neurons to faithfully recapitulate gene expression of their brain homolog cells while lacking expression of other catecholaminergic neuronal types. induced neurons showed spontaneous electrical activity organized in regular spikes consistent with the pacemaker activity featured by brain da neurons. the three factors were able to elicit da neuronal conversion in human fibroblasts from prenatal or adult fibroblasts of healthy donors and a parkinson’s disease patient. generation of da induced neurons from somatic cells might have significant implications in studies of neural development, disease in vitro modeling and cell replacement therapies.",Parkinson's disease AND healthy AND transcriptome AND blood
GDS4155,"Dopaminergic transcription factors Ascl1, Lmx1a, Nurr1 combined effect on embryonic fibroblasts",Mus musculus,8,2011/07/04,True,Expression profiling by array,"analysis of induced dopaminergic (ida) neurons generated from e14.5 mouse embryonic fibroblasts (mefs) reprogrammed by infection with lentiviruses expressing dopaminergic transcription factors ascl1, lmx1a and nurr1. results provide insight into the molecular basis of mef to ida reprogramming.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE6613,"Parkinson's disease vs. controls, whole blood",Homo sapiens,105,2006/12/30,True,Expression profiling by array,"parkinson’s disease (pd) progresses relentlessly and affects five million people worldwide. laboratory tests for pd are critically needed for developing treatments designed to slow or prevent progression of the disease. we performed a transcriptome-wide scan in 105 individuals to interrogate the molecular processes perturbed in cellular blood of patients with early-stage pd. the molecular marker here identified is strongly associated with risk of pd in 66 samples of the training set (third tertile cross-validated odds ratio of 5.7 {p for trend 0.005}). it is further validated in 39 independent test samples (third tertile odds ratio of 5.1 {p for trend 0.04}). the genes differentially expressed in patients with pd, or alzheimer’s or progressive supranuclear palsy offer unique insights into disease-linked processes detectable in peripheral blood. combining gene expression scans in blood and linked clinical data will facilitate the rapid characterization of candidate biomarkers as demonstrated here with respect to pd. keywords: disease state analysis",Parkinson's disease AND healthy AND transcriptome AND blood
GDS2519,Early-stage Parkinson's disease: whole blood,Homo sapiens,105,2006/12/30,True,Expression profiling by array,analysis of blood of 50 patients predominantly with early-stage parkinson’s disease (pd). results provide insight into the molecular processes perturbed in the cellular blood of patients with early-stage pd.,Parkinson's disease AND healthy AND transcriptome AND blood
GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,Homo sapiens,176371,2003/11/07,False,,"affymetrix submissions are typically submitted to geo using the geoarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html june 03, 2009: annotation table updated with netaffx build 28 june 06, 2012: annotation table updated with netaffx build 32 june 23, 2016: annotation table updated with netaffx build 35 protocol: see manufacturer's web site complete coverage of the human genome u133 set plus 6,500 additional genes for analysis of over 47,000 transcripts all probe sets represented on the genechip human genome u133 set are identically replicated on the genechip human genome u133 plus 2.0 array. the sequences from which these probe sets were derived were selected from genbank®, dbest, and refseq. the sequence clusters were created from the unigene database (build 133, april 20, 2001) and then refined by analysis and comparison with a number of other publicly available databases, including the washington university est trace repository and the university of california, santa cruz golden-path human genome database (april 2001 release). in addition, there are 9,921 new probe sets representing approximately 6,500 new genes. these gene sequences were selected from genbank, dbest, and refseq. sequence clusters were created from the unigene database (build 159, january 25, 2003) and refined by analysis and comparison with a number of other publicly available databases, including the washington university est trace repository and the ncbi human genome assembly (build 31).",Parkinson's disease AND healthy AND transcriptome AND blood
GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,Homo sapiens,42505,2002/03/11,False,,"affymetrix submissions are typically submitted to geo using the geoarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html june 03, 2009: annotation table updated with netaffx build 28 june 08, 2012: annotation table updated with netaffx build 32 june 24, 2016: annotation table updated with netaffx build 35 protocol: see manufacturer's web site the u133 set includes 2 arrays with a total of 44928 entries and was indexed 29-jan-2002. the set includes over 1,000,000 unique oligonucleotide features covering more than 39,000 transcript variants, which in turn represent greater than 33,000 of the best characterized human genes. sequences were selected from genbank, dbest, and refseq. sequence clusters were created from build 133 of unigene (april 20, 2001) and refined by analysis and comparison with a number of other publicly available databases including the washington university est trace repository and the university of california, santa cruz golden-path human genome database (april 2001 release). in addition, ests were analyzed for untrimmed low-quality sequence information, correct orientation, false priming, false clustering, alternative splicing and alternative polyadenylation.",Parkinson's disease AND healthy AND transcriptome AND blood
GSE301569,Microglial NUS1 deficiency drives dopaminergic neurodegeneration by activation of the LCN2/SLC22A17 axis-mediated iron transport,Mus musculus,9,2026/03/11,False,Expression profiling by high throughput sequencing,"the mechanisms underlying selective loss of dopaminergic (daergic) neurons in substantia nigra pars compacta in parkinson’s disease (pd) remain unclear. the nus1 gene, encoding ngbr, has recently been identified as a novel pd risk gene. here, we show that ngbr is highly expressed in microglia, and microglia-specific ngbr deficiency drives progressive pd-like motor deficits and daergic neurodegeneration via lipocalin-2 (lcn2)/slc22a17 axis-mediated iron transport. ngbr deficiency in microglia triggers endoplasmic reticulum stress and perk-atf4-nupr1 pathway to selectively upregulate lcn2-mediated iron efflux rather than cytokines. strikingly, microglia-derived iron-loaded holo-lcn2 but not iron-free apo-lcn2 is internalized by slc22a17, a receptor we identified as specifically highly expressed in daergic neurons that induces iron overload/ferroptosis. pharmacological inhibition of the lcn2/slc22a17 axis or ferroptosis alleviate daergic neuron loss and pd-like symptoms caused by microglial ngbr deficiency in vitro and in vivo. our findings establish intercellular iron homeostasis imbalance as a selective pathological driver in pd and highlight the lcn2/slc22a17 axis for specific therapeutic targeting.",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE322929,Parkinson’s Disease-Associated Pink1 Loss Disrupts Ensheathing Glia And Causes Dopaminergic Neuron Synapse Loss,Drosophila melanogaster,18,2026/03/05,False,Expression profiling by high throughput sequencing,"parkinson’s disease (pd) is commonly associated with the loss of dopaminergic neurons in the substantia nigra, but many other cell types are affected even before neuron loss occurs. recent studies have linked oligodendrocytes to early stages of pd, though their precise role is still unclear. pink1 is mutated in familial pd, and through unbiased single-cell sequencing of the entire brain of drosophila pink1 models, we observed significant gene deregulation in ensheathing glia (eg); cells that share functional similarities with oligodendrocytes. we found that the loss of pink1 leads to abnormalities in eg, similar to the reactive response of eg seen upon nerve injury. using cell-type-specific transcriptomics, we identified deregulated genes in eg as potential functional modifiers. specifically downregulating two trafficking factors in eg, vps35 and vps13, also mutated in pd, was sufficient to rescue neuronal function and protect against dopaminergic synapse loss. our findings demonstrate that pink1 loss in neurons triggers an injury-like response in eg, and that pink1 loss in eg in turn disrupts neuronal function. vesicle trafficking components, which may regulate membrane interactions between organelles in eg, seem to play a role in maintaining neuronal health and ultimately preventing dopaminergic synapse loss. our work highlights the essential role of glial support cells in the pathogenesis of pd and identifies vesicle trafficking within these cells in disease progression.",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE308116,"Epigenetic modification, as a distinctive therapeutic molecule for Parkinson’s disease gene therapy.",Mus musculus,17,2025/11/30,False,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,"parkinson's disease (pd) is a progressive neurodegenerative disorder characterized by the loss of dopaminergic neurons (dn) in the substantia nigra and disruption of cellular maintenance. here, we demonstrate that ndst3-mediated epigenetic reprogramming halts neuronal degeneration and restores motor function in an animal model of pd.",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE252967,Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease,Mus musculus,20,2024/11/09,True,Expression profiling by high throughput sequencing,"background: pathological accumulation of aggregated α-synuclein (asyn) is a common feature of parkinson’s disease (pd). however, the mechanisms by which intracellular asyn pathology contributes to dysfunction and degeneration of neurons in the brain are still unclear. a potentially relevant target of asyn is the mitochondrion. to test this hypothesis, genetic and physiological methods were used to monitor mitochondrial function in substantia nigra pars compacta (snc) dopaminergic and pedunculopontine nucleus (ppn) cholinergic neurons after stereotaxic injection of asyn pre-formed fibrils (pffs) into the mouse brain. methods: asyn ppfs were stereotaxically injected into the snc or ppn of mice. twelve weeks later, mice were studied using a combination of approaches, including immunocytochemical analysis, cell-type specific transcriptomic profiling, electron microscopy, electrophysiology and two-photon-laser-scanning microscopy of genetically encoded sensors for bioenergetic and redox status. results: in addition to inducing a significant neuronal loss, snc injection of pffs induced the formation of intracellular, phosphorylated asyn aggregates selectively in dopaminergic neurons. in these neurons, pff-exposure decreased mitochondrial gene expression, reduced the number of mitochondria, increased oxidant stress, and profoundly disrupted mitochondrial adenosine triphosphate production. consistent with an asyn-induced bioenergetic deficit, the autonomous spiking of dopaminergic neurons slowed or stopped. pffs also up-regulated lysosomal gene expression and increased lysosomal abundance, leading to the formation of lewy-like inclusions. similar changes were observed in ppn cholinergic neurons following asyn pff exposure. conclusions: taken together, our findings suggest that disruption of mitochondrial function is a proximal step in the cascade of events induced by asyn pathology leading to dysfunction and degeneration of neurons at-risk in pd.",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE232039,Neuroprotective effect of a medium-chain triglyceride ketogenic diet on MPTP-induced Parkinson’s disease mice: A combination of transcriptomics and metabolomics in the substantia nigra and fecal microbiome,Mus musculus,9,2023/08/01,False,Expression profiling by high throughput sequencing,"to explore effect of medium-chain triglyceride kd (mct-kd) in a 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)-induced pd mouse model, we profiled substantia nigra pars compacta tissues from control group, mptp group and mptp + kd mice by rna sequencing (rna-seq).",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE214446,Dietary intake of α-ketoglutarate ameliorates α-synuclein pathology in a Parkinson’s disease mouse model,Mus musculus,8,2022/10/02,True,Expression profiling by high throughput sequencing,"in order to investigate the effect of alpha-ketoglutarate (akg) on p-α-synuclein in substantia nigra of parkinson's disease (pd) model mice (c57bl/6), we profiled substantia nigra from wild-type (wt), aav-α-synuclein (α-syn), akg and α-syn-akg in male mice by rna sequencing (rna-seq).",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE196441,Modulation of miR-181 influences dopaminergic neuronal degeneration in a mouse model of Parkinson’s disease,Mus musculus,15,2022/03/23,True,Expression profiling by high throughput sequencing,"parkinson’s disease (pd) is caused by loss of dopaminergic (da) neurons in the substantia nigra (sn). although pd pathogenesis is not fully understood, studies implicate perturbations in gene regulation, mitochondrial function, and neuronal activity. micrornas (mirs) are small gene regulatory rnas that inhibit diverse subsets of target mrnas, and several studies have noted mir expression alterations in pd brains. for example, mir-181a is abundant in brain and is increased in pd patient brain samples; however, the disease relevance of this remains unclear. herein, we show that mir-181 target mrnas are broadly down-regulated in aging and pd brains. to address if the mir‑181 family plays a role in pd pathogenesis, we generated adeno-associated viruses (aav) to overexpress and inhibit mir-181 isoforms. after co-injection with aav overexpressing alpha-synuclein (asyn) into mouse sn (pd model), we found that moderate mir-181a/b overexpression exacerbated asyn-induced da neuronal loss, whereas mir‑181 inhibition was neuroprotective, relative to controls (gfp-alone and/or scrambled rna). also, prolonged mir-181 overexpression in sn alone elicited measurable neurotoxicity coincident with an increased immune response. rna-seq analyses revealed that mir-181a/b inhibits genes involved in synaptic transmission, neurite outgrowth, and mitochondrial respiration, along with several genes having known protective roles and genetic links in pd.",Parkinson's disease AND substantia nigra AND control AND RNA-seq
GSE264050,Parkinson's disease (PD) genetic asymmetry in neuronal nuclei from paired hemisphere samples of prefrontal cortex,Homo sapiens,87,2026/03/12,True,Expression profiling by high throughput sequencing,"we measured gene expression in neuronal nuclei from cortex derived from pd (18 male, 10 female) and healthy control (5 male, 6 female) brains. each brain sample consisted of cortex from both right and left hemispheres. th side of pd onset, age, duration of disease, as well as technical variables were used to define linear models of expression for each gene. significant differences in expression due to age, disease, sex, hemisphere, side of pd onset, or combinations were determined",Parkinson's disease AND prefrontal cortex AND control
GSE303823,Single-nucleus transcriptomics reveals distinct myelin-enriched microglia and increased MSR1-mediated phagocytosis as common features across dementia subtypes,Homo sapiens,20,2025/07/28,True,Expression profiling by high throughput sequencing,"alzheimer’s disease (ad), dementia with lewy bodies (dlb), and parkinson’s disease dementia (pdd) collectively represent the majority of dementia cases worldwide. while these subtypes share clinical, genetic, and pathological features, their transcriptomic similarities and differences remain poorly understood. we applied single-nucleus rna-sequencing (snrna-seq) to prefrontal cortex samples from individuals with non-cognitive impairment control (nci), and dementia subtypes (ad, dlb, and pdd) to investigate cell type-specific gene expression patterns and pathways underlying pathological similarities and differences across dementia subtypes. snrna-seq findings were validated through rnascope, immunohistochemistry, and additional biochemical analyses in human tissues and cellular models. snrna-seq analysis revealed elevated microglial proportions across all dementia subtypes compared to nci. further analysis of cell type-specific transcriptomes identified overlapping differentially expressed genes (degs) between microglia and oligodendrocytes across all dementia subtypes. while ad showed molecular similarities to nci, pdd and dlb were clustered more closely together, sharing a greater number of degs and related pathways, predominantly associated with microglia. investigation of interactions between microglia and oligodendrocytes revealed a distinct myelin-enriched microglia (mem) subcluster in all dementia subtypes. msr1, a gene encoding a scavenger receptor, was upregulated in microglia across all dementia subtypes, along with its associated gene hspa1a in oligodendrocytes. rnascope supported the potential interaction between microglia and oligodendrocytes, where these cells were in closer proximity to each other in human cortical tissues of pdd compared to nci. msr1 expression was significantly increased in cortical primary microglia from pd mice compared with non-transgenic (ntg) mice. additionally, the expression of myelin-associated genes (mbp, mobp and plp1) was significantly upregulated in pd microglia compared to ntg, supporting the presence of mem. furthermore, msr1-positive microglia colocalised with mbp in cortical tissue of pdd patients, suggesting a functional role of msr1 in myelin debris clearance. overexpression of msr1 in microglial cells enhanced their phagocytic activity toward myelin, and reciprocally, myelin treatment upregulated msr1 protein levels, indicating enhanced msr1-mediated myelin phagocytosis.",Parkinson's disease AND prefrontal cortex AND control
GSE264549,Parkinson's disease (PD) genetic asymmetry in neuronal nuclei from paired hemisphere samples of prefrontal cortex (ATAC-Seq),Homo sapiens,69,2025/04/01,False,Genome binding/occupancy profiling by high throughput sequencing,"we measured chromatin accessibility in neuronal nuclei from cortex derived from pd (18 male, 10 female) and healthy control (2 male, 2 female) brains. each brain sample consisted of cortex from both right and left hemispheres. th side of pd onset, age, duration of disease, as well as technical variables were used to define linear models related to diffbind scores. significant differences due to age, disease, sex, hemisphere, side of pd onset, or combinations were determined",Parkinson's disease AND prefrontal cortex AND control
GSE272760,Transcriptomic changes in oligodendrocytes and precursor cells predicts clinical outcomes of Parkinson's disease,Homo sapiens,12,2024/07/31,True,Expression profiling by high throughput sequencing,"several prior studies have proposed the involvement of various brain regions and cell types in parkinson's disease (pd) pathology. here, we performed snrna-seq on the prefrontal cortex and anterior cingulate regions from post-mortem control and pd brain tissue. we found a significant association of oligodendrocytes (odcs) and oligodendrocyte precursor cells (opcs) with pd-linked risk loci and report several dysregulated genes and pathways, including regulation of tau-protein kinase activity, regulation of inclusion body assembly and protein processing involved in protein targeting to mitochondria. in an independent pd cohort with clinical measures (681 cases and 549 controls), polygenic risk scores derived from the dysregulated genes significantly predicted montreal cognitive assessment (moca)-, and beck depression inventory-ii (bdi-ii)-scores but not motor impairment (updrs-iii). we extended our analysis of clinical outcome prediction by incorporating three separate datasets that were previously published by different laboratories. in the first dataset from the anterior cingulate cortex, we identified a correlation between odcs and bdi-ii. in the second dataset obtained from the substantia nigra (sn), opcs displayed notable predictive ability for updrs-iii. in the third dataset from the sn region, a distinct subtype of opcs, labeled opc_adm, exhibited predictive ability for updrs-iii. intriguingly, the opc_adm cluster also demonstrated a significant increase in pd samples. these results suggest that by expanding our focus to glial cells, we can uncover region-specific molecular pathways associated with pd symptoms.",Parkinson's disease AND prefrontal cortex AND control
GSE227990,A pilot study of ex vivo human prefrontal RNA transcriptomics in Parkinson’s disease,Homo sapiens,33,2023/03/27,True,Other,"parkinson’s disease (pd) can dramatically change cortical neurophysiology. the molecular basis for pd-related cortical changes is unclear because gene expression data are usually derived from postmortem tissue collected at the end of a complex disease and they profoundly change in the minutes after death. here, we studied cortical changes in tissue from the prefrontal cortex of living pd patients undergoing deep-brain stimulation implantation surgery. we examined 780 genes using the nanostring ncounter platform and found that 40 genes were differentially expressed between pd (n = 12) and essential tremor (et; n = 9) patients. one of these 40 genes, stat1, correlated with intraoperative 4-hz rhythms and intraoperative performance of an oddball reaction-time task. using a pre-designed custom panel of 780 targets, we compared these intraoperative data with those from a separate cohort of fresh-frozen tissue from the same frontal region in postmortem human pd donors (n = 6) and age-matched neurotypical controls (n = 6). this cohort revealed 279 differentially expressed genes. fifteen of the 40 intraoperative pd-specific genes overlapped with postmortem pd-specific genes, including calb2 and foxp2. transcriptomic analyses identified pathway changes in pd that had not been previously observed in postmortem cases. these molecular signatures of cortical function and dysfunction may help us better understand cognitive and neuropsychiatric aspects of pd.",Parkinson's disease AND prefrontal cortex AND control
GSE202210,Single-cell transcriptomic and proteomic analysis of Parkinson’s disease brains,Homo sapiens,12,2022/06/01,True,Expression profiling by high throughput sequencing,"parkinson’s disease (pd) is a prevalent neurodegenerative disorder where recent evidence suggests pathogenesis may be mediated by inflammatory processes. the molecular architecture of the disease remains to be fully elucidated. we performed single-nucleus transcriptomics and unbiased proteomics using postmortem tissue obtained from the prefrontal cortex of 12 individuals with late-stage pd and age-matched controls. we analyzed ~80,000 nuclei and identified eight major cell types, including brain-resident t cells, each with distinct transcriptional changes in line with the known genetics of pd. by analyzing lewy body pathology in the same postmortem tissue, we found that α-synuclein pathology is inversely correlated with chaperone expression in excitatory neurons. examining cell-cell interactions, we found a selective abatement of neuron-astrocyte interactions and enhanced neuroinflammation. proteomic analyses of the same brains identified synaptic proteins in prefrontal cortex that were preferentially downregulated in pd. strikingly, comparing this dataset to a regionally similar published analysis for alzheimer’s disease (ad), we found no common differentially expressed genes in neurons, but identified many shared differentially expressed genes in glial cells, suggesting that disease etiology in pd and ad are likely distinct. these data are presented as a resource for interrogating the molecular and cellular basis of pd and other neurodegenerative diseases.",Parkinson's disease AND prefrontal cortex AND control
GSE150696,Transcriptome profiling of prefrontal cortex (BA9) in neurodegenerative dementia using Affymetrix Human Transcriptome Array 2.0,Homo sapiens,42,2021/05/24,True,Expression profiling by array,"we investigated transcriptome alterations in the prefrontal cortex (ba) of patients with alzheimer’s disease (ad), dementia with lewy bodies (dlb) and parkinson's disease dementia (pdd) when compared with elderly controls without neurological or psychiatric diseases (ctrl) using affymetrix human transcriptome array 2.0 all brain samples were provided by the brains for dementia research (bdr), uk. all cases were prospectively assessed by experienced clinicians using validated clinical rating instruments. the samples processed in each group were matched for age, sex and postmortem interval (pmi) as far as possible.",Parkinson's disease AND prefrontal cortex AND control
GSE135751,Epigenetic inactivation of the autophagy-lysosomal system in the Parkinson’s disease appendix,Homo sapiens,366,2021/02/03,True,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,this superseries is composed of the subseries listed below.,Parkinson's disease AND prefrontal cortex AND control
