accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE189877,M6A Demethylase FTO-mediated downregulation of DACT1 mRNA stability promotes Wnt signaling to facilitate osteosarcoma progression [MeRIP-seq],Homo sapiens,4,2024/11/30,False,Other,"despite advances in clinical diagnosis and treatment, the prognosis of patients with osteosarcoma (os) remains poor, and the treatment efficacy has plateaued. therefore, it is important to identify new therapeutic targets for os. n6-methyladenosine (m6a) modification has been reported to participate in tumor malignancy. in this study, functional screening found that the m6a demethylase fto could be a candidate therapeutic target for os. upregulated fto in os could predict a poorer prognosis. fto promoted the growth and metastasis of os in vitro and in vivo. methylated rna immunoprecipitation sequencing (merip-seq) and rna sequencing (rna-seq) were performed to identify dact1 as a potential target of fto. in vitro assays demonstrated that fto could reduce the mrna stability of dact1 via m6a demethylation, which decreased dact1 expression and further activated the wnt signaling pathway. the oncogenic effect of fto on os was dependent on dact1. in addition, the m6a reader igf2bp1 was validated to participate in the regulation of dact1. entacapone, a conventional drug for parkinson's disease, was confirmed to suppress os via m6a-mediated regulation through the fto/dact1 axis. our findings demonstrate that fto may be a novel therapeutic target and that entacapone has the preclinical value to be repurposed for os.",Parkinson's disease AND control AND RNA-seq AND human
GSE282345,Zinc finger protein 184 prevents α-synuclein preformed fibril-mediated neurodegeneration through the interleukin enhancer binding factor 3-microRNA-7 pathway,Homo sapiens,2,2024/11/20,False,Expression profiling by high throughput sequencing,"parkinson’s disease (pd) is a neurodegenerative disorder characterized by a loss of dopaminergic neurons. recent studies suggested the association of zinc finger protein 184 (znf184) with pd. however, the functional role of znf184 in pd pathogenesis remains unclear. therefore, we aimed to confirm this association and the effects of znf184 in a mouse model of pd and human patients with pd.we found that znf184 levels were decreased in the substantia nigra (sn) of α-synuclein preformed fibril (α-syn pff)-injected mice and cells treated with pd toxins. furthermore, znf184 was reduced in the cortex and sn of patients with pd, suggesting an association between znf184 and pd pathogenesis. in znf184-overexpressing cells, rna-sequencing analysis revealed significant alterations in several protein-coding genes including interleukin enhancer binding factor 3 (ilf3). bioinformatic analysis identified potential znf184 binding motifs within the ilf3 promoter, and znf184 occupancy was confirmed. since ilf3 inhibits the biogenesis of microrna-7 (mir-7), which regulates α-synuclein aggregation, we administered the mir-7 inducer, scutellarin to α-syn pff-injected mice, preventing dopaminergic neuron and reinstating motor abilities. our findings suggest that znf184 promotes mir-7 upregulation by suppressing ilf3 transcription, revealing a novel pathway that could serve as a promising therapeutic target for the treatment of pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE246902,Mdivi-1: Effective but complex mitochondrial fission inhibitor,Homo sapiens,2,2024/05/10,True,Methylation profiling by high throughput sequencing,"mdivi-1, mitochondrial division inhibitor 1, has been widely employed in research under the assumption that it exclusively influences mitochondrial fusion, but effects other than mitochondrial dynamics have been underinvestigated. this paper provides transcriptome and dna methylome-wide analysis for mdivi-1 treated sh-sy5y human neuroblastoma cells using rna sequencing (rna-seq) and methyl capture sequencing (mc-seq) methods. gene ontology analysis of rna sequences revealed that p53 transcriptional gene network and dna replication initiation-related genes were significantly up and down-regulated, respectively, showing the correlation with the arrest cell cycle in the g1 phase. mc-seq, a powerful sequencing method for capturing dna methylation status in cpg sites, revealed that although mdivi-1 does not induce dramatic dna methylation change, the subtle alterations were concentrated within the cpg island. integrative analysis of both sequencing data disclosed that p53 transcriptional network was activated while parkinson's disease pathway was halted. next, we investigated several changes in mitochondria in response to mdivi-1. copy number and transcription of mitochondrial dna were suppressed, while these results were not due to mitophagy. ros and ca2+ levels increased, and elevated ros triggered mitochondrial retrograde signaling rather than inducing direct dna damage. in this study, we could better understand the molecular network of mdivi-1 by analyzing dna methylation and mrna transcription in the nucleus and further investigating various changes in mitochondria, providing inspiration for studying nuclear-mitochondrial communications.",Parkinson's disease AND control AND RNA-seq AND human
GSE243639,Unravelling cell type specific response to Parkinson’s Disease at single cell resolution,Homo sapiens,29,2024/01/22,True,Expression profiling by high throughput sequencing,"parkinson’s disease (pd) is the second most common neurodegenerative disorder. the pathological hallmark of pd is loss of dopaminergic neurons and the presence of aggregated α-synuclein, primarily in the substantia nigra pars compacta (snpc) of the midbrain. however, the molecular mechanisms that underlie the pathology in different cell types is not currently understood. here, we present a single nuclei transcriptomic analysis of human post-mortem in substantia nigra pars compacta (snpc) tissue from 15 sporadic parkinson’s disease (pd) cases and 14 controls. our dataset comprised of ∼80k nuclei, representing all major cell types of the brain and allowed us to obtain a transcriptome-level characterization of these cell types. importantly, we identified multiple subpopulations for each cell type and described subpopulation-specific gene sets that provide insights into the differing roles of these subpopulations. our findings revealed a significant decrease in neuronal cells in pd samples, accompanied by an increase in glial cells and t cells. subpopulation analyses demonstrated a significant depletion of tyrosine hydroxylase (th)-positive astrocyte, microglia, and oligodendrocyte populations, along with the th-expressing neurons in pd samples, which were also depleted. moreover, marker gene analysis of the depleted subpopulations identified 28 overlapping genes including those associated with dopamine metabolism (e.g., aldh1a1, slc6a3 & slc18a2). overall, our study provides a valuable resource for understanding the molecular mechanisms involved in dopaminergic neuron degeneration and glial responses in pd, highlighting the existence of novel subpopulations and cell type-specific gene sets.",Parkinson's disease AND control AND RNA-seq AND human
GSE236458,Modeling early phenotypes of Parkinson’s disease by age-induced midbrain-striatum assembloids [RNA-Seq],Homo sapiens,12,2023/10/28,True,Expression profiling by high throughput sequencing,"parkinson’s disease, an aging-associated neurodegenerative disorder, is characterised by nigrostriatal pathway dysfunction caused by the gradual loss of dopaminergic neurons in the substantia nigra pars compacta of the midbrain. human in vitro models are enabling the study of the dopaminergic neurons’ loss, but not the dysregulation within the dopaminergic network in the nigrostriatal pathway. additionally, these models do not incorporate aging characteristics which potentially contribute to the development of parkinson’s disease. here we present a nigrostriatal pathway model based on midbrain-striatum assembloids with inducible aging. we show that these assembloids can develop characteristics of the nigrostriatal connectivity, with catecholamine release from the midbrain to the striatum and synapse formation between midbrain and striatal neurons. moreover, progerin-overexpressing assembloids acquire aging traits that lead to early neurodegenerative phenotypes. this model shall help to reveal the contribution of aging as well as nigrostriatal connectivity to the onset and progression of parkinson’s disease.",Parkinson's disease AND control AND RNA-seq AND human
GSE226663,"Common Mitochondrial Deletions in RNA-Seq: Evaluation of Bulk, Single-Cell and Spatial Transcriptomic Datasets",Homo sapiens,10,2023/10/16,True,Expression profiling by high throughput sequencing; Other,to investigate whether large mitochondrial dna (mtdna) deletions can be quantified and detected using the high-throughput bioinformatics tool splice-break (https://github.com/brookehjelm/splice-break2). this dataset contains 8 human middle temporal gyrus (mtg) samples (from 4 patients) that underwent spatial transcriptomic rna-sequencing following 10x genomics visium protocols as well as 2 samples (from spatial transcriptomics patient 144107/144108) that underwent bulk rna-sequencing (one with a ribosomal depletion library preparation and one without).,Parkinson's disease AND control AND RNA-seq AND human
GSE238129,Unveiling the effect of the Parkinson's disease related Miro1R272Q mutation in the transcriptome of human iPSC-derived dopaminergic neurons,Homo sapiens,12,2023/08/31,False,Expression profiling by high throughput sequencing,"over the past decade evidences have been pointing in a role of rhot1 gene (miro1) in parkinson's disease (pd). miro 1 is an important part of the motor/adaptor complex and an essencial regulator of mitochondrial transport and homeostasis in neurons. in fact, our group have identify a few pd patiens carrying heterozygous mutations in the rhot1 gene. one specific mutation, miro1 r272q , seems to play a important role in the pathology development. to better understand the role of miro1 r272q mutation in pd we used ipsc-derived doapminergic neurons. three different cell lines, one coming from a pd patient harboring the miro1 r272q mutation, its respective isogenic control and a healthy individual (age- and sex- matched) were used in the study to generate dopaminergic neurons (most affected cellular population in pd). at day 30 of culture, gene expression changes caused by the miro1 r272q mutation were unveil using bulk rna sequencing. the data showed a clear separation between the pd miro1 r272q cells and isogenc and helthy control at the pc1. also, deregulated go terms such as axon, neuron projection, vesicle release, among other support the role of miro1 r272q mutant as important in pd pathogenecity.",Parkinson's disease AND control AND RNA-seq AND human
GSE148434,Characterization of altered molecular mechanisms in Parkinson’s disease through cell type-resolved multi-omics analyses,Homo sapiens,70,2023/03/05,True,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other,"parkinson’s disease (pd) is a progressive neurodegenerative disorder. however, cell type-dependent transcriptional regulatory programs responsible for pd pathogenesis remain elusive. here, we establish transcriptomic and epigenomic landscapes of the substantia nigra (sn) by profiling 113,207 nuclei obtained from healthy controls and pd patients. our multi-omic data integration provides cell type annotation of 128,724 cis-regulatory elements (cres), and uncovers cell type-specific dysregulations in cres with a strong transcriptional influence on genes implicated in pd. the establishment of high-resolution three-dimensional (3d) chromatin contact maps identifies 656 target genes of dysregulated cres and genetic risk loci, uncovering both potential and known pd risk genes. notably, these candidate genes exhibit modular gene expression patterns with unique molecular signatures in distinct cell types, highlighting altered molecular mechanisms in dopaminergic neurons and glial cells including oligodendrocytes and microglia. together, our single-cell transcriptome and epigenome reveal cell type-specific disruption in transcriptional regulations related to pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE203522,3D Biocomposite Culture Enhances Differentiation of Dopamine-like Neurons from SH-SY5Y cells: A Model for Studying Parkinson’s Disease Phenotypes,Homo sapiens,16,2022/10/17,False,Expression profiling by high throughput sequencing,"studies of underlying neurodegenerative processes in parkinson’s disease (pd) have traditionally utilized cell cultures grown on two-dimensional (2d) surfaces. biomimetic three-dimensional (3d) cell culture platforms have been developed to better emulate features of the brain’s natural microenvironment. we here use our bioengineered brain-like tissue model, composed of a silk-hydrogel composite, to study the 3d microenvironment’s contributions on the development and performance of dopaminergic-like neurons (dlns). compared with 2d culture, sh-sy5y cells differentiated in 3d microenvironments were enriched for dlns concomitant with a reduction in proliferative capacity during the neurodevelopmental process. additionally, the 3d dln cultures were more sensitive to oxidative stresses elicited by the pd-related neurotoxin 1-methyl-4-phenylpyridinium (mpp). mpp induced transcriptomic profile changes specific to 3d-differentiated dln cultures, replicating the dysfunction of neuronal signaling pathways and mitochondrial dynamics implicated in pd. overall, this physiologically-relevant 3d platform resembles a useful tool for studying dopamine neuron biology and interrogating molecular mechanisms underlying neurodegeneration in pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE147633,Transcription regulation of SNCA by dystonia type 6 gene product THAP1 [RNA-Seq],Homo sapiens,12,2022/09/28,True,Expression profiling by high throughput sequencing,"the predominantly function of thap1 has been defined as a transcription factor, but how it regulates gene expression in human neurons is not well understood. here, we found that thap1 is able to regulate the expression of alpha-synuclein (snca), a key protein in parkinson’s disease (pd).",Parkinson's disease AND control AND RNA-seq AND human
