accession,title,organism,n_samples,date,has_pub,type,platform,summary,query
GSE29773,Gene Expression Data for Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,12,2011/07/26,True,Expression profiling by array,13695,"patient-specific induced pluripotent stem cells (ipscs) derived from somatic cells provide a unique tool for the study of human disease in disease relevant cells, as well as a promising source for cell replacement therapies for degenerative diseases. however one of the crucial limitations before realizing the full promise of this “disease in a dish” approach has been the inability to do controlled experiments under genetically defined conditions. this is particularly relevant for disorders with long latency periods, such as parkinson’s disease (pd), where in vitro phenotypes of patient-derived ipscs are predicted to be subtle and susceptible to significant epistatic effects of genetic background variations. by combining zinc-finger nuclease (zfn)-mediated genome editing and ipsc technology we provide a generally applicable solution to this key problem by generating isogenic pairs of disease and control human embryonic stem cells (hescs) and hipscs lines that differ exclusively at a susceptibility variant for pd by modifying a single point mutation (a53t) in the α-synuclein gene. the robust capability to genetically correct disease causing point mutations in patient-derived hipscs represents not only a significant progress for basic biomedical research but also a major advancement towards hipsc-based cell replacement therapies using autologous cells.",Parkinson's disease AND control AND GPL570
GSE24598,The human nose harbours a niche of olfactory ecto-mesenchymal stem cells displaying neurogenic and osteogenic properties,Homo sapiens,29,2010/10/08,True,Expression profiling by array,96;570,"we previously identified multipotent stem cells within the lamina propria of the human olfactory mucosa, located in the nasal cavity. we also demonstrated that this cell type differentiates into neural cells and improves locomotor behavior after transplantation in a rat model of parkinson’s disease. yet, next to nothing is known about their specific stemness characteristics. we therefore devised a study aiming to compare olfactory lamina propria stem cells from 4 individuals to bone marrow mesenchymal stem cells from 4 age- and gendermatched individuals. using pangenomic microarrays and immunostaining with 34 cell surface marker antibodies, we show here that olfactory stem cells are closely related to bone marrow stem cells. however, olfactory stem cells exhibit also singular traits. by means of techniques such as proliferation assay, cdna microarrays, rt-pcr, in vitro and in vivo differentiation, we report that, when compared to bone marrow stem cells, olfactory stem cells display i) a high proliferation rate; ii) a propensity to differentiate into osseous cells and iii) a disinclination to give rise to chondrocytes and adipocytes. since peripheral olfactory stem cells originate from a neural crest-derived tissue and, as shown here, exhibit an increased expression of neural cellrelated genes, we propose to name them olfactory ecto-mesenchymal stem cells (oe-msc). further studies are now required to corroborate the therapeutic potential of oe-mscs in animal models of bone and brain diseases. keywords: cell type comparison",Parkinson's disease AND control AND GPL570
GSE20153,Expression analysis of lymphoblast cells lines in Parkinson's disease,Homo sapiens,16,2010/02/04,True,Expression profiling by array,570,genome-wide transcriptome analysis of expression changes in ebv transformed cell lines from the coriell cell repository in parkinson and control subjects.,Parkinson's disease AND control AND GPL570
GSE20146,Expression analysis of dissected GPi in Parkinson's disease,Homo sapiens,20,2010/02/04,True,Expression profiling by array,570,genome-wide transcriptome analysis of expression changes in globus pallidus interna (gpi) from parkinson's disease brain tissue versus control brain tissue.,Parkinson's disease AND control AND GPL570
GSE20141,Expression analysis of laser-dissected SNpc neurons in Parkinson's disease,Homo sapiens,18,2010/02/04,True,Expression profiling by array,570,genome-wide transcriptome analysis of expression changes in laser-dissected snpc neurons from parkinson's disease brain tissue versus control brain tissue.,Parkinson's disease AND control AND GPL570
GSE9807,Expression data from RNAi SNCA treated human neuroblastoma cell line,Homo sapiens,6,2009/02/01,True,Expression profiling by array,570,"the pre-synaptic protein α-synuclein is a key player in the pathogenesis of parkinson's disease. together with accumulation and missfolding of α-synuclein protofibrils serve as seed structures for the aggregation of numerous proteins in the cytoplasm of neuronal cells, the so-called lewy bodies. furthermore, missense mutations in the snca gene and gene multiplications lead to autosomal dominant forms of familiar pd. however, so far the exact biological role of α-synuclein in normal brain is elusive. to gain more insights into the biological function of this protein we monitored whole genome expression changes in dopaminergic neuroblastoma cells (sh-sy5y) caused by a 90% reduction of α-synuclein by rna interference. keywords: whole genome expression changes through the loss of α-synuclein",Parkinson's disease AND control AND GPL570
GSE14429,Alteration of gene expression profile in HEK293 cells treated with proteasome inhibitor epoxomicin,Homo sapiens,12,2009/01/15,True,Expression profiling by array,570,"the objective of this study is to identify the genes that are up-regulated amid proteasome dysfunction to facilitate the discovery of proteolytic pathways that are activated as a compensatory response to proteasome inhibition. proteasome is a large multi-component proteolytic complex in the cell. it is responsible for the constitutive turn-over of many cellular proteins as well as the degradation of oxidized and/or unfolded proteins. with such a fundamental role in the cell, disruption of proteasome understandably can lead to disastrous outcome. oxidative stress has been postulated as the driving mechanism for aging. oxidatively modified proteins, which usually have lost their activity, require immediate removal by proteasome to maintain normal cellular function. dysfunction of proteasome has also been linked to neuro-degenerative diseases such as alzheimer’s and parkinson’s diseases, those that are most commonly seen in aged population. there is more than one proteolytic pathway in the cell, and it has been reported that obstruction of any one of these pathways may enhance the activity of the others. proteasomal function has been found to have decreased during aging, prompting researchers to hypothesize that failure to remove oxidized proteins may play an important role in aging. it would be interesting to determine the other proteolytic pathways that are activated after proteasome inhibition by a relatively specific inhibitor epoxomicin to help understand their roles in aging processes. keywords: time course, proteasome, inhibitor, oxidative stress, epoxomicin",Parkinson's disease AND control AND GPL570
GSE7621,Expression data of substantia nigra from postmortem human brain of Parkinson's disease patients (PD),Homo sapiens,25,2007/06/14,True,Expression profiling by array,570,we used microarrays to detail the global program of gene expression underlying parkinson's disease keywords: normal versus diseased,Parkinson's disease AND control AND GPL570
GDS2821,Parkinson's disease: substantia nigra,Homo sapiens,25,2007/06/14,True,Expression profiling by array,570,"analysis of substantia nigrae from postmortem brains of patients with parkinson’s disease (pd). neurons in the substantia nigra, which produces dopamine, degenerate in pd. results provide insight into the molecular pathogenesis of pd.",Parkinson's disease AND control AND GPL570
GSE7307,Human body index - transcriptional profiling,Homo sapiens,677,2007/04/09,False,Expression profiling by array,570,"normal and diseased human tissues were profiled for gene expression using the affymetrix u133 plus 2.0 array in total 677 samples were processed , representing over 90 distinct tissue types some tissue samples were purchased from stratagene (sg), ambion (ab), and becton-dickinson (bd) keywords: human body index of gene expression",Parkinson's disease AND control AND GPL570
