accession,title,organism,n_samples,date,has_pub,type,platform,summary,query
GSE46798,Gene expression of A53T and corrected IPSC driven to DA neurons and exposed to paraquat and maneb,Homo sapiens,12,2013/12/05,True,Expression profiling by array,10558,"parkinson disease (pd) is characterized by extensive loss of a9 dopaminergic (da) neurons in the substantia nigra pars compacta (snpc). a strong association has been reported between pd and exposure to mitochondrial toxins such as the environmental pesticides paraquat, maneb, and rotenone. here, using a robust, patient-derived, stem cell model of pd that allows comparison of -synuclein ( -syn) mutant cells and isogeneic mutation-corrected controls, we identify mitochondrial toxin-induced perturbations specific to a53t -syn mutant a9-da neurons (hns). we report a novel molecular pathway whereby basal as well as toxin-induced oxidative and nitrosative stress inhibits the mef2c-pgc1 transcription network in a53t hns compared to corrected controls, contributing to mitochondrial dysfunction and apoptotic cell death. our data provide mechanistic insight into gene-environmental interaction (gxe) in the pathogenesis of pd. furthermore, using small molecule high-throughput screening, we identify the mef2c-pgc1 pathway as a new drug target for therapeutic benefit in pd.",Parkinson's disease AND control AND GPL10558
GSE32658,Midbrain floor plate dopamine neurons from human ESCs efficiently engraft in murine and primate models of PD,Homo sapiens,72,2011/11/07,True,Expression profiling by array,10558,"human pluripotent stem cells (hpscs) are a promising source of cells for applications in regenerative medicine. directed differentiation of hpscs into specialized cells such as spinal motoneurons or midbrain dopamine (da) neurons has been achieved. however the effective use of hpscs for cell therapy has lagged far behind. while mouse psc-derived da neurons have shown efficacy in models of parkinson’s disease, da neurons derived from human pscs generally display poor in vivo performance. there are also considerable safety concerns for hpscs related to their potential for teratoma formation or neural overgrowth. here we present a novel floor plate-based strategy for the derivation of human da neurons that efficiently engraft, suggesting that past failures were due to incomplete specification rather than a specific vulnerability of the cells. midbrain floor plate precursors are derived from hpscs in days following exposure to small molecule activators of sonic hedgehog (shh) and canonical wnt signaling. engraftable midbrain da neurons are obtained by day 25 and can be maintained in vitro for several months. extensive in vitro molecular profiling, biochemical and electrophysiological data define developmental progression and confirm identity of hpsc-derived midbrain da neurons. in vivo survival and function is demonstrated in pd animal models in three host species. long-term engraftment in 6-ohda-lesioned mouse and rats demonstrates robust survival of midbrain da neurons, complete restoration of amphetamine-induced rotation behavior and improvements in tests of forelimb use and akinesia. finally, scalability is demonstrated by transplantation into parkinsonian monkeys. excellent da neuron survival, function and lack of neural overgrowth in the three animal models tested indicate considerable promise for the development of cell based therapies in pd.",Parkinson's disease AND control AND GPL10558
GSE57475,Association between alpha-synuclein blood transcripts and early Parkinson's disease,Homo sapiens,142,2015/06/01,True,Expression profiling by array,6947,"importance. biological markers of parkinson’s disease are essential for achieving disease modification. objective. to determine the association of snca blood transcript levels with prevalence of parkinson’s disease. background. the snca locus is preferentially transcribed in neurons and blood cells. non-coding genetic variants and neuronal aggregates of α-synuclein protein associate this locus with sporadic parkinson’s disease and suggest a potential role for abnormal snca transcription in the disease mechanism. here we investigated variation in intracellular snca gene expression and snca transcript isoform abundance in circulating blood cells of cases with pd and controls in a network of biobanks that represent regional, national, and international populations. design, setting, participants. three cross-sectional, case-control studies nested in observational biomarker studies. 222 cases with early-stage clinical pd and 183 controls were enrolled from 2005 to 2010 in the harvard biomarker study (hbs) at two harvard-affiliated tertiary care centers. 76 cases with dopamine transporter imaging (dat)-confirmed pd and 42 controls were enrolled between august 2007 and december 2008 in the blood α-synuclein, gene expression and smell testing as diagnostic and prognostic biomarkers in parkinson’s disease study (probe) study from 22 us tertiary care centers. 202 dat-confirmed cases with de novo pd and 138 controls were enrolled in the parkinson’s progression markers initiative (ppmi) between july 2010 and november 2012 from 22 us and international tertiary care centers. main outcome measures. association of intracellular snca transcript abundance with pd estimated on analog and digital expression platforms. results. reduced levels of snca transcripts were associated with early-stage clinical pd, neuroimaging-confirmed pd, and untreated, neuroimaging-confirmed pd in accessible, peripheral blood cells from a total of 863 individuals. snca expression was reduced by 17%, 22%, and 16% in cases compared to controls in the hbs, probe, and ppmi study with p values of 0.004, 0.025, and 0.018, respectively, after adjusting for clinical, hematological, and processing covariates. specific snca transcripts with long 3’ untranslated regions (utr) and those skipping exon 5 are implicated in the accumulation and mitochondrial targeting of α-synuclein protein in parkinson’s pathology. these transcript isoforms were linked to pd through digital expression analysis. individuals in the lowest quartile of snca expression values had covariate-adjusted odds ratios for pd of 2.14 (95% c. i. 1.1-4.1), 4.5 (95% c. i. 1.3-15), and 2.1 (1.1-4.0) compared to individuals in the highest quartile of expression values in the hbs, probe, and ppmi study, respectively. conclusions and relevance. reduced levels of snca expression, particularly of disease-relevant transcripts with extended 3’ utr or exon 5 skipping, are associated with early-stage pd. these findings support a potential role for snca as a transcriptional marker of pd and may have implications for patient stratification and risk assessment.",Parkinson's disease AND control AND GPL6947
GSE33434,The transcription factor nurr1 exerts concentration-dependent effects on target genes mediating distinct biological processes,Homo sapiens,9,2012/01/01,True,Expression profiling by array,6947,"the transcription factor nurr1 plays a pivotal role in the development and maintenance of neurotransmitter phenotype in midbrain dopamine neurons. conversely, decreased nurr1 expression is associated with a number of dopamine-related cns disorders, including parkinson’s disease and drug addiction. in order to better understand the nature of nurr1-responsive genes and their potential roles in dopamine neuron differentiation and survival, we used a neural cellular background in which to generate a number of stable clonal lines with graded nurr1 gene expression that approximated that seen in da cell-rich human substantia nigra. gene expression profiling data from these nurr1-expressing clonal lines were validated by quantitative rt-pcr and subjected to bioinformatic analyses. the present study identified a large number of nurr1-responsive genes and demonstrated the potential importance of concentration-dependent nurr1 effects in the differential regulation of distinct nurr1 target genes and biological pathways. these data support the promise of nurr1-based cns therapeutics for the neuroprotection and/or functional restoration of da neurons.",Parkinson's disease AND control AND GPL6947
GSE20186,Systematic meta-analysis and replication of genome-wide expression studies of Parkinson's disease,Homo sapiens,69,2011/02/03,True,Expression profiling by array,96;6947,this superseries is composed of the subseries listed below.,Parkinson's disease AND control AND GPL6947
GSE20159,Systematic meta-analysis and replication of genome-wide expression studies of Parkinson's disease: 1,Homo sapiens,33,2011/01/20,True,Expression profiling by array,6947,"systematic meta-analysis and replication of genome-wide expression studies identifies molecular pathways of parkinson’s disease. snap-frozen human substantia nigras (sns) of 16 individuals with a clinicopathological diagnosis of incidental lewy body (ilb) disease with lewy bodies detected in the brainstem nuclei of locus coeruleus and substantia nigra, but generally not in higher cortical regions consistent with braak stage 3 criteria for parkinson's disease (pd), and 17 age-, sex-, postmortem interval-, and rna integrity number-matched controls, who were clinicopathologically within normal limits for age collected under the rapid-autopsy program of sun health research institute or by the harvard brain tissue resource center at mclean hospital, were used for gene expression analyses in stage 2. protocols were approved by the institutional review board of brigham and women’s hospital.",Parkinson's disease AND control AND GPL6947
GSE25580,Examination of impact of pathogenic mutations in LRRK2 upon gene expression in patient fibroblasts and HEK cells,Homo sapiens,56,2010/12/03,True,Expression profiling by array,6104;6947,analysis of global gene expression changes due to the induction of wt or mutant lrrk2 expression,Parkinson's disease AND control AND GPL6947
GSM1192718,Braak α-synuclein stages 5-6 BR56_8SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192717,Braak α-synuclein stages 5-6 BR56_7SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192716,Braak α-synuclein stages 5-6 BR56_6SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192715,Braak α-synuclein stages 5-6 BR56_5SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192714,Braak α-synuclein stages 5-6 BR56_4SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192713,Braak α-synuclein stages 5-6 BR56_3SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192712,Braak α-synuclein stages 5-6 BR56_2SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192711,Braak α-synuclein stages 5-6 BR56_1SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192710,Braak α-synuclein 3-4 BR34_7SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192709,Braak α-synuclein 3-4 BR34_6SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192708,Braak α-synuclein 3-4 BR34_5SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192707,Braak α-synuclein 3-4 BR34_4SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192706,Braak α-synuclein 3-4 BR34_3SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192705,Braak α-synuclein 3-4 BR34_2SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM1192704,Braak α-synuclein 3-4 BR34_1SN,Homo sapiens,0,2015/05/12,False,,570,substantia nigra,Parkinson's disease AND substantia nigra AND GPL570
GSM503967,PD-5476-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503966,PD-5138-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503965,PD-3803p-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503964,PD-3790p-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503963,PD-3769p-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503962,PD-2525-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503961,PD-2515p-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503960,PD-1647-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503959,PD-1401-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM503958,PD-1364-SNc,Homo sapiens,0,2010/02/04,False,,570,substantia nigra pars compacta,Parkinson's disease AND substantia nigra AND GPL570
GSM176457,Substantia Nigra Reticulata 3 Disease,Homo sapiens,0,2007/04/09,False,,570,male/female; normal/diseased,Parkinson's disease AND substantia nigra AND GPL570
GSM176406,Substantia Nigra Reticulata 2 Disease,Homo sapiens,0,2007/04/09,False,,570,male/female; normal/diseased,Parkinson's disease AND substantia nigra AND GPL570
GSM176405,Substantia Nigra Pars Compacta 3 Disease,Homo sapiens,0,2007/04/09,False,,570,male/female; normal/diseased,Parkinson's disease AND substantia nigra AND GPL570
GSE7179,Comparison of gene expression data between wild-type and DM1-affected undifferentiated hES cells.,Homo sapiens,9,2010/02/24,True,Expression profiling by array,570,"analysis of genes that were differentially expressed in mutant vub03_dm1 as compared to controls vub01 and sa01 undifferentiated hes cells embryonic stem (es) cell lines provide, theoretically, unlimited access to any needed amount of any specific cell phenotype of an organism, due to their unique capacities at indefinite self-renewal and pluripotency (smith 2001; trounson 2006). these properties allow using the progeny of es cell lines to model human pathologies (martinat, shendelman et al. 2004; lerou and daley 2005; ben-nun and benvenisty 2006). in particular, human es cell lines derived from embryos characterized as gene-carriers following pre-implantation genetic diagnosis (pgd) for any one of major monogenic diseases (pickering, minger et al. 2005; mateizel, de temmerman et al. 2006) may be considered as perfect cellular replicas of those diseases, as they exhibit the exact genotypes associated to them. here, we confirm this hypothesis by demonstrating that the cell progeny of an es cell line derived from an embryo with myotonic dystrophy type 1 (dm1) displayed the morphological stigma associated to the expression of the mutant gene –so-called intranuclear foci- as well as abnormal alternate splicing of the insulin receptor, a characteristic feature of dm1. further differential transcriptomic analysis of the dm1 gene-carrying cells with phenotypically similar populations from native es cell lines revealed abnormal expression of 89 genes, among which 48 were down-regulated and 39 over-expressed. this study demonstrates that dm1, though a disease with relatively late clinical onset, is associated with expression of genetic defects early on during development. it underlines the value of pgd-derived es cell lines as a tool to decipher molecular mechanisms of genetic diseases. ben-nun, i. f. and n. benvenisty (2006). human embryonic stem cells as a cellular model for human disorders. mol cell endocrinol 252(1-2): 154-9. lerou, p. h. and g. q. daley (2005). therapeutic potential of embryonic stem cells. blood rev 19(6): 321-31. martinat, c., s. shendelman, et al. (2004). sensitivity to oxidative stress in dj-1-deficient dopamine neurons: an es- derived cell model of primary parkinsonism. plos biol 2(11): e327. mateizel, i., n. de temmerman, et al. (2006). derivation of human embryonic stem cell lines from embryos obtained after ivf and after pgd for monogenic disorders. hum reprod 21(2): 503-11. pickering, s. j., s. l. minger, et al. (2005). generation of a human embryonic stem cell line encoding the cystic fibrosis mutation deltaf508, using preimplantation genetic diagnosis. reprod biomed online 10(3): 390-7. smith, a. g. (2001). embryo-derived stem cells: of mice and men. annu rev cell dev biol 17: 435-62. trounson, a. (2006). the production and directed differentiation of human embryonic stem cells. endocr rev 27(2): 208-19. keywords: disease state analysis",Parkinson's disease AND blood AND GPL570
GSE7178,Comparison of gene expression data between wild-type and DM1-affected Neural Precursors Cells (NPC),Homo sapiens,9,2010/02/24,True,Expression profiling by array,570,"analysis of genes that were differentially expressed in mutant vub03_dm1 as compared to controls vub01 and sa01 neural precursor cells embryonic stem (es) cell lines provide, theoretically, unlimited access to any needed amount of any specific cell phenotype of an organism, due to their unique capacities at indefinite self-renewal and pluripotency (smith 2001; trounson 2006). these properties allow using the progeny of es cell lines to model human pathologies (martinat, shendelman et al. 2004; lerou and daley 2005; ben-nun and benvenisty 2006). in particular, human es cell lines derived from embryos characterized as gene-carriers following pre-implantation genetic diagnosis (pgd) for any one of major monogenic diseases (pickering, minger et al. 2005; mateizel, de temmerman et al. 2006) may be considered as perfect cellular replicas of those diseases, as they exhibit the exact genotypes associated to them. here, we confirm this hypothesis by demonstrating that the cell progeny of an es cell line derived from an embryo with myotonic dystrophy type 1 (dm1) displayed the morphological stigma associated to the expression of the mutant gene –so-called intranuclear foci- as well as abnormal alternate splicing of the insulin receptor, a characteristic feature of dm1. further differential transcriptomic analysis of the dm1 gene-carrying cells with phenotypically similar populations from native es cell lines revealed abnormal expression of 89 genes, among which 48 were down-regulated and 39 over-expressed. this study demonstrates that dm1, though a disease with relatively late clinical onset, is associated with expression of genetic defects early on during development. it underlines the value of pgd-derived es cell lines as a tool to decipher molecular mechanisms of genetic diseases. ben-nun, i. f. and n. benvenisty (2006). human embryonic stem cells as a cellular model for human disorders. mol cell endocrinol 252(1-2): 154-9. lerou, p. h. and g. q. daley (2005). therapeutic potential of embryonic stem cells. blood rev 19(6): 321-31. martinat, c., s. shendelman, et al. (2004). sensitivity to oxidative stress in dj-1-deficient dopamine neurons: an es- derived cell model of primary parkinsonism. plos biol 2(11): e327. mateizel, i., n. de temmerman, et al. (2006). derivation of human embryonic stem cell lines from embryos obtained after ivf and after pgd for monogenic disorders. hum reprod 21(2): 503-11. pickering, s. j., s. l. minger, et al. (2005). generation of a human embryonic stem cell line encoding the cystic fibrosis mutation deltaf508, using preimplantation genetic diagnosis. reprod biomed online 10(3): 390-7. smith, a. g. (2001). embryo-derived stem cells: of mice and men. annu rev cell dev biol 17: 435-62. trounson, a. (2006). the production and directed differentiation of human embryonic stem cells. endocr rev 27(2): 208-19. keywords: disease state analysis",Parkinson's disease AND blood AND GPL570
GSE7177,Comparison of gene expression data between wild-type and DM1-affected Mesodermal Precursors Cells (MPC),Homo sapiens,9,2010/02/24,True,Expression profiling by array,570,"analysis of genes that were differentially expressed in mutant vub03_dm1 as compared to controls vub01 and sa01 mesodermal precursors cells. embryonic stem (es) cell lines provide, theoretically, unlimited access to any needed amount of any specific cell phenotype of an organism, due to their unique capacities at indefinite self-renewal and pluripotency (smith 2001; trounson 2006). these properties allow using the progeny of es cell lines to model human pathologies (martinat, shendelman et al. 2004; lerou and daley 2005; ben-nun and benvenisty 2006). in particular, human es cell lines derived from embryos characterized as gene-carriers following pre-implantation genetic diagnosis (pgd) for any one of major monogenic diseases (pickering, minger et al. 2005; mateizel, de temmerman et al. 2006) may be considered as perfect cellular replicas of those diseases, as they exhibit the exact genotypes associated to them. here, we confirm this hypothesis by demonstrating that the cell progeny of an es cell line derived from an embryo with myotonic dystrophy type 1 (dm1) displayed the morphological stigma associated to the expression of the mutant gene –so-called intranuclear foci- as well as abnormal alternate splicing of the insulin receptor, a characteristic feature of dm1. further differential transcriptomic analysis of the dm1 gene-carrying cells with phenotypically similar populations from native es cell lines revealed abnormal expression of 89 genes, among which 48 were down-regulated and 39 over-expressed. this study demonstrates that dm1, though a disease with relatively late clinical onset, is associated with expression of genetic defects early on during development. it underlines the value of pgd-derived es cell lines as a tool to decipher molecular mechanisms of genetic diseases. ben-nun, i. f. and n. benvenisty (2006). human embryonic stem cells as a cellular model for human disorders. mol cell endocrinol 252(1-2): 154-9. lerou, p. h. and g. q. daley (2005). therapeutic potential of embryonic stem cells. blood rev 19(6): 321-31. martinat, c., s. shendelman, et al. (2004). sensitivity to oxidative stress in dj-1-deficient dopamine neurons: an es- derived cell model of primary parkinsonism. plos biol 2(11): e327. mateizel, i., n. de temmerman, et al. (2006). derivation of human embryonic stem cell lines from embryos obtained after ivf and after pgd for monogenic disorders. hum reprod 21(2): 503-11. pickering, s. j., s. l. minger, et al. (2005). generation of a human embryonic stem cell line encoding the cystic fibrosis mutation deltaf508, using preimplantation genetic diagnosis. reprod biomed online 10(3): 390-7. smith, a. g. (2001). embryo-derived stem cells: of mice and men. annu rev cell dev biol 17: 435-62. trounson, a. (2006). the production and directed differentiation of human embryonic stem cells. endocr rev 27(2): 208-19. keywords: disease state analysis",Parkinson's disease AND blood AND GPL570
GSE14711,Parkinson’s disease patient-derived induced pluripotent stem cells free of viral reprogramming factors,Homo sapiens,11,2009/03/06,True,Expression profiling by array,570,"induced pluripotent stem cells (ipscs) derived from somatic cells of patients by viral vector-mediated factor transduction represent a powerful tool for biomedical research and may provide a source for cell replacement therapies. however, the proviruses encoding the reprogramming factors represent a major limitation of the current technology because even low vector expression may alter the differentiation potential of the ipscs and induce malignant transformation. here we show that fibroblasts from five patients with idiopathic parkinson’s disease (pd) can be efficiently reprogrammed into hipscs and subsequently differentiated into dopaminergic neurons. moreover, we derived pd specific hipscs free of reprogramming factors using cre-recombinase excisable viruses. upon factor deletion these cells maintain a pluripotent state and intact karyotype. importantly, these factor-free hipscs show a global gene expression profile, which is more closely related to hescs than to hipscs carrying the transgenes. our results indicate that residual transgene expression in conventional virus-carrying hipscs can affect their molecular characteristics and that factor-free hipscs therefore represent a more suitable source of cells for modeling of human disease.",Parkinson's disease AND blood AND GPL570
GSM505623,ND 06449 Pm,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505617,ND 04424 Pm,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505607,ND 04158 Pf,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505606,ND 03432 Pf,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505314,ND 02852 Pm,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505313,ND 02579 Pm,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505312,ND 01737 Pf,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM505308,ND 01173 Pf,Homo sapiens,0,2010/02/04,False,,570,lymphoblasts,Parkinson's disease AND blood AND GPL570
GSM367258,iPS PDB 2lox-17,Homo sapiens,0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367245,iPS PDB 2lox-21,Homo sapiens,0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367244,iPS PDB 2lox-22,Homo sapiens,0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367243,iPS PDB 2lox-5,Homo sapiens,0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367242,iPS PDB 1lox-21Puro-26,Homo sapiens,0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367241,iPS PDB 1lox-21Puro-20,Homo sapiens,0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367240,iPS PDB 1lox-17Puro-10,Homo sapiens,0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GSM367219,iPS PDB 1lox-17Puro-5,Homo sapiens,0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc),Parkinson's disease AND blood AND GPL570
GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,Homo sapiens,105827,2010/06/17,False,,10558,"the humanht-12 v4 expression beadchip provides high throughput processing of 12 samples per beadchip without the need for expensive, specialized automation. the beadchip is designed to support flexible usage across a wide-spectrum of experiments. the updated content on the humanht-12 v4 expression beadchips provides more biologically meaningful results through genome-wide transcriptional coverage of well-characterized genes, gene candidates, and splice variants. each array on the humanht-12 v4 expression beadchip targets more than 31,000 annotated genes with more than 47,000 probes derived from the national center for biotechnology information reference sequence (ncbi) refseq release 38 (november 7, 2009) and other sources. please use the geo data submission report plug-in v1.0 for gene expression which may be downloaded from https://icom.illumina.com/icom/software.ilmn?id=234 to format the normalized and raw data. these should be submitted as part of a geoarchive. instructions for assembling a geoarchive may be found at http://www.ncbi.nlm.nih.gov/projects/geo/info/spreadsheet.html october 11, 2012: annotation table updated with humanht-12_v4_0_r2_15002873_b.txt protocol: see manufacturer's website",Parkinson's disease AND blood AND GPL10558
GSM1318551,RNA pool from PD patients 1-5,Homo sapiens,0,2014/01/31,False,,10558,peripheral blood,Parkinson's disease AND blood AND GPL10558
GSM1318550,PD patient 4,Homo sapiens,0,2014/01/31,False,,10558,peripheral blood,Parkinson's disease AND blood AND GPL10558
GSM1318549,PD patient 3,Homo sapiens,0,2014/01/31,False,,10558,peripheral blood,Parkinson's disease AND blood AND GPL10558
GSM1318548,PD patient 2,Homo sapiens,0,2014/01/31,False,,10558,peripheral blood,Parkinson's disease AND blood AND GPL10558
GSM1318547,PD patient 1,Homo sapiens,0,2014/01/31,False,,10558,peripheral blood,Parkinson's disease AND blood AND GPL10558
GSE99253,Human iPSC-derived dopaminergic neurons function in primate Parkinson’s disease models,Homo sapiens,14,2017/08/21,True,Expression profiling by array,6244,"induced pluripotent stem cells (ipscs) are a promising source for cell-based therapy to treat parkinson's disease (pd), in which midbrain dopaminegic (da) neurons progressively degenerate. however, long-term analysis of human ipsc-derived da neurons in primate pd models has never been performed. here we show that da progenitor cells derived from ipscs of both healthy individuals and pd patients survived well in the brains of pd model primates and improved animal behavior. magnetic resonance and positron emission tomography were useful to monitor the survival and function of the da neurons. score-based and video-recording analyses revealed an increase in spontaneous movement of the monkeys after transplantation. histological studies showed that the mature da neurons extended dense neurites into the host striatum. in addition, we never observed tumor formation for two years. thus, this preclinical study using primate models indicates that human ipsc-derived da progenitors are clinically applicable to treat pd patients.",Parkinson's disease AND brain AND GPL6244
GSE51214,Isolation of human iPSC-derived dopaminergic progenitors by cell sorting,Homo sapiens,20,2014/03/07,True,Expression profiling by array,6244,"human induced pluripotent stem cells (ipscs) can provide a promising source of midbrain dopaminergic (da) neurons for cell replacement therapy for parkinson’s disease. however, ipsc-derived donor cells may inevitably contain tumorigenic or inappropriate cells. purification of neural progenitor cells or da neurons as suitable donor cells has been attempted, but the isolation of da progenitor cells derived from human pluripotent stem cells has so far been unsuccessful. here we show human ipsc-derived da progenitor cells can be efficiently isolated by cell sorting using a floor plate marker, corin. we were able to develop a method for 1) scalable da neuron induction on human laminin fragment and 2) sorting da progenitor cells using an anti-corin antibody. furthermore, we determined the optimal timing for the cell sorting and transplantation. the grafted cells survived well and functioned as midbrain da neurons in the 6-ohda-lesioned rats, and showed minimal risk of tumor formation. the sorting of corin-positive cells is favorable in terms of both safety and efficiency, and our protocol will contribute to the clinical application of human ipscs for parkinson’s disease.",Parkinson's disease AND brain AND GPL6244
GSE29774,Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,18,2011/07/26,True,Genome variation profiling by SNP array; Expression profiling by array,6801;13695,this superseries is composed of the subseries listed below.,SNCA AND Parkinson AND GPL570
